Infraction_Framing,Abbreviated_Infraction_Description,count,cumulative_count,cumulative_percentage
231 II a,Transitar com veículo lançando a carga que esteja transportando,104,2100171,99.73600604066048
227 I,Usar buzina que não a de toque breve como advertência a pedestre ou condutores,102,2100273,99.74084996651993
244 VIII,Conduzir motoc/moton/ transportando carga em desacordo c/ § 2º do Art 139-A CTB,101,2100374,99.74564640291015
251 II,"Utilizar luz alta e baixa intermitente, exceto quando permitido pelo CTB",100,2100574,99.75514429675219
253-A,"Usar qq veiculo para, delib, pertubar circulação na via sem aut do orgão",100,2100574,99.75514429675219
170,Dirigir ameaçando os pedestres que estejam atravessando a via pública,98,2100770,99.76445223271739
231 X,Transitar com o veículo excedendo a CMT em até 600 kg,98,2100770,99.76445223271739
164 c/c 162 III,Permitir posse/condução veíc a pessoa com PPD categoria diferente da do veículo,94,2100864,99.76891624282315
176 I,"Deixar o cond envolvido em acidente, de prestar ou providenciar socorro a vítima",93,2100957,99.7733327634597
164 c/c 162 VII,Permitir posse e condução do veículo por pessoa sem possuir curso especificos obrigatorios,91,2101048,99.77765430515782
251 I,"Utilizar o pisca-alerta, exceto em imobilizações ou situações de emergência",90,2101228,99.78620240961567
248 § único c/c 210,Fugir o condutor à ação policial.,90,2101228,99.78620240961567
206 III,Executar operação de retorno passando por cima de faixa de pedestres,88,2101404,99.79456055619667
163 c/c 162 II,Entregar veículo a pessoa com CNH/PPD/ACC c/ susp. do direito de dirigir,88,2101404,99.79456055619667
178,"Deixar o condutor envolvido em acidente s/ vítima, de remover o veículo do local",85,2101574,99.8026337659624
176 III,"Deixar o cond envolvido em acidente, de preservar local p/ trab policia/pericia",85,2101574,99.8026337659624
181 IX,Estacionar em guia de calçada rebaixada destinada à entrada/saída de veículos,82,2101656,99.80652790243764
252 II,Dirigir o veículo transport animais à sua esquerda ou entre os braços e pernas,80,2101736,99.81032705997444
227 II,Usar buzina prolongada e sucessivamente a qualquer pretexto,79,2101815,99.81407872804205
182 VII,Parar na área de cruzamento de vias,78,2101893,99.81778290664045
181 X,Estacionar impedindo a movimentação de outro veículo,77,2102047,99.82509628489883
206 II,Executar operação de retorno nas curvas,77,2102047,99.82509628489883
181 XI,Estacionar ao lado de outro veículo em fila dupla,76,2102123,99.8287054845588
220 VIII,Deixar de reduzir a velocidade sob chuva/neblina/cerração/ventos fortes,75,2102198,99.83226719474956
163 c/c 162 VI,Entregar o veículo a pessoa sem usar lentes corretoras de visão,74,2102272,99.83578141547112
"181, XX",Estacionar nas vagas reserv a idosos s/ credencial,73,2102345,99.83924814672346
