City,Violations_Count,Violations_Count(%),Acum
TRES MARIAS,3897,0.0942323377236688,0.7492648450993983
GUAPIMIRIM,3894,0.09415979550833112,0.7502064430544816
PEDRO CANARIO,3842,0.09290239710914436,0.751135467025573
EUSEBIO,3817,0.09229787864799688,0.752058445812053
BEZERROS,3810,0.09212861347887559,0.7529797319468416
ALHANDRA,3808,0.09208025200198379,0.7539005344668614
PELOTAS,3806,0.09203189052509199,0.7548208533721124
SANTA ISABEL DO PARA,3777,0.09133064911016092,0.755734159863214
GRAVATA,3766,0.09106466098725602,0.7566448064730866
ACAILANDIA,3762,0.09096793803347243,0.7575544858534213
VOLTA REDONDA,3748,0.09062940769522984,0.7584607799303736
GURUPI,3697,0.08939619003448898,0.7593547418307185
GUARAMIRIM,3664,0.08859822566577431,0.7602407240873762
ICO,3662,0.08854986418888251,0.761126222729265
PARANAGUA,3652,0.08830805680442352,0.7620093032973092
JOAO MONLEVADE,3619,0.08751009243570886,0.7628844042216663
SIDROLANDIA,3599,0.08702647766679088,0.7637546689983342
SANTA TEREZINHA DE ITAIPU,3569,0.08630105551341391,0.7646176795534684
TIANGUA,3564,0.08618015182118441,0.7654794810716802
ATILIO VIVACQUA,3562,0.08613179034429261,0.7663407989751231
SANGAO,3538,0.08555145262159103,0.767196313501339
BALSA NOVA,3531,0.08538218745246974,0.7680501353758636
RIBEIRA DO POMBAL,3520,0.08511619932956485,0.7689012973691592
ITABERABA,3515,0.08499529563733535,0.7697512503255326
HUMAITA,3467,0.0838346201919322,0.770589596527452
CACAPAVA,3453,0.08349608985368961,0.7714245574259888
IPATINGA,3441,0.08320592099233881,0.7722566166359122
SAO JOSE DE MIPIBU,3413,0.08252886031585364,0.7730819052390707
POCINHOS,3402,0.08226287219294875,0.7739045339610002
NAVIRAI,3381,0.08175507668558486,0.7747220847278561
PARAOPEBA,3375,0.08160999225490947,0.7755381846504051
CAMPO MAIOR,3344,0.0808603893630866,0.776346788544036
VALPARAISO DE GOIAS,3311,0.08006242499437194,0.7771474127939798
XANXERE,3300,0.07979643687146704,0.7779453771626945
GUARAI,3281,0.07933700284099496,0.7787387471911045
CAPIM GROSSO,3255,0.07870830364140158,0.7795258302275185
RIBEIRAO DAS NEVES,3254,0.07868412290295569,0.7803126714565481
VALENCA DO PIAUI,3233,0.0781763273955918,0.7810944347305041
AGUA CLARA,3231,0.07812796591870001,0.7818757143896911
GANDU,3222,0.07791033927268691,0.782654817782418
ARARANGUA,3215,0.07774107410356562,0.7834322285234536
GRAVATAI,3214,0.07771689336511972,0.7842093974571048
SAO MIGUEL DOS CAMPOS,3213,0.07769271262667382,0.7849863245833716
SOLEDADE,3205,0.07749926671910662,0.7857613172505626
SOORETAMA,3196,0.07728164007309354,0.7865341336512935
RIO CASCA,3172,0.07670130235039196,0.7873011466747974
CACAPAVA DO SUL,3139,0.07590333798167728,0.7880601800546142
UNIAO DOS PALMARES,3082,0.07452503589026103,0.7888054304135168
MAMANGUAPE,3077,0.07440413219803155,0.7895494717354972
LINDOESTE,3061,0.07401724038289716,0.7902896441393261
AREIA BRANCA,3053,0.07382379447532997,0.7910278820840794
ITAPUA DO OESTE,3050,0.07375125225999227,0.7917653946066793
CAARAPO,3049,0.07372707152154637,0.7925026653218947
ALTAMIRA,3049,0.07372707152154637,0.7932399360371102
TERENOS,3040,0.07350944487553328,0.7939750304858655
CANDEIAS,3030,0.07326763749107429,0.7947077068607762
NAVEGANTES,3030,0.07326763749107429,0.7954403832356869
MALHADA DOS BOIS,2976,0.07196187761499573,0.7961600020118369
BOA VIAGEM,2973,0.07188933539965804,0.7968788953658335
NOVA SERRANA,2951,0.07135735915384826,0.7975924689573719
APUCARANA,2922,0.07065611773891718,0.7982990301347611
POUSO ALTO,2915,0.0704868525697959,0.7990038986604591
IMBITUBA,2895,0.0700032378008779,0.7997039310384678
SAO SEBASTIAO,2889,0.06985815337020251,0.8004025125721699
PORTO SEGURO,2884,0.06973724967797301,0.8010998850689496
NOVA ANDRADINA,2880,0.06964052672418941,0.8017962903361915
NOVA SANTA HELENA,2868,0.06935035786283864,0.8024897939148199
RIO NOVO DO SUL,2851,0.06893928530925834,0.8031791867679124
BAYEUX,2851,0.06893928530925834,0.803868579621005
